"","sample","alb","biclyr","lob","mac","micmon","muepri","sinstemar","pureCount","hybCount","hyb","sinstemar_1","muepri_1","alb_1","biclyr_1","lob_1","mac1_1","mac2_1","micmon_1","macComb"
"13","SRR14632967","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"14","SRR14632968","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"15","SRR14632969","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1.1e-05,1e-05,0.999928,1e-05,1e-05,1e-05,2e-05
"16","SRR14632970","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"17","SRR3244044","none","none","pure?","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,2e-05
"18","SYST-MOR-0006717","hybrid?","none","none","none","hybrid?","none","none",0,2,"hybrid",1e-05,1e-05,0.058373,1e-05,1e-05,1e-05,1e-05,0.941567,2e-05
"19","SYST-MOR-0006718","none","none","none","none","pure?","none","none",1,0,"pure",1e-05,1e-05,0.05292,1e-05,1e-05,1e-05,1e-05,0.94702,2e-05
"20","SYST-MOR-0006719","none","none","none","none","pure?","none","none",1,0,"pure",1e-05,1e-05,0.048625,1e-05,1e-05,1e-05,1e-05,0.951315,2e-05
"21","SYST-MOR-0006720","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"22","SYST-MOR-0006721","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.910625,0.089315,1e-05,0.99994
"23","SYST-MOR-0006722","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.830774,0.169166,1e-05,0.99994
"24","SYST-MOR-0006723","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.954728,0.045212,1e-05,0.99994
"25","SYST-MOR-0006724","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.947381,0.052559,1e-05,0.99994
"26","SYST-MOR-0006725","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,0.99994
"27","SYST-MOR-0006726","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"28","SYST-MOR-0006727","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"29","SYST-MOR-0006728","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.999929,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"30","SYST-MOR-0006729","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.14716,0.85278,1e-05,0.99994
"31","SYST-MOR-0006730","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1.1e-05,0.999929,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"32","SYST-MOR-0006731","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.07727,0.92267,1e-05,0.99994
"33","SYST-MOR-0006732","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.999929,1e-05,1.1e-05,1e-05,1e-05,1e-05,2e-05
"34","SYST-MOR-0006733","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1.2e-05,0.995717,1e-05,1e-05,0.004221,1e-05,0.004231
"35","SYST-MOR-0006734","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"36","SYST-MOR-0006735","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,0.004273,0.212763,0.782914,1e-05,0.995677
"37","SYST-MOR-0006736","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.990224,1e-05,1e-05,0.009716,1e-05,1e-05,0.009726
"38","SYST-MOR-0006737","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.170188,0.829752,1e-05,0.99994
"39","SYST-MOR-0006738","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.28859,0.71135,1e-05,0.99994
"40","SYST-MOR-0006739","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"41","SYST-MOR-0006740","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.139016,0.860924,1e-05,0.99994
"42","SYST-MOR-0006741","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"43","SYST-MOR-0006742","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"44","SYST-MOR-0006743","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"45","SYST-MOR-0006744","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.999927,1.3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"46","SYST-MOR-0006745","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"47","SYST-MOR-0006746","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"48","SYST-MOR-0006747","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"49","SYST-MOR-0006748","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"50","SYST-MOR-0006749","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"51","SYST-MOR-0006750","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"52","SYST-MOR-0006751","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"53","SYST-MOR-0006752","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"54","SYST-MOR-0006753","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1.6e-05,1e-05,1e-05,1e-05,0.959708,0.040227,1e-05,0.999935
"55","SYST-MOR-0006754","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,2e-05
"56","SYST-MOR-0006755","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,0.99994
"57","SYST-MOR-0006756","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,2e-05
"58","SYST-MOR-0006757","none","pure?","none","none","none","none","none",1,0,"pure",1.1e-05,1e-05,1e-05,0.999929,1e-05,1e-05,1e-05,1e-05,2e-05
"59","SYST-MOR-0006758","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.890353,0.109587,1e-05,0.99994
"60","SYST-MOR-0006759","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.955949,0.043991,1e-05,0.99994
"61","SYST-MOR-0006760","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,2e-05
"62","SYST-MOR-0006761","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.004135,1e-05,0.983928,0.011887,1e-05,0.995815
"63","SYST-MOR-0006762","none","hybrid?","none","hybrid?","none","none","none",0,2,"hybrid",1e-05,1e-05,1e-05,0.520091,1e-05,0.479849,1e-05,1e-05,0.479859
"64","SYST-MOR-0006763","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,0.99994
"65","SYST-MOR-0006764","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1.1e-05,0.999929,1e-05,1e-05,0.999939
"66","SYST-MOR-0006765","none","none","none","pure?","none","none","none",1,0,"pure",1.4e-05,1e-05,1e-05,1e-05,1e-05,0.999926,1e-05,1e-05,0.999936
"67","SYST-MOR-0006766","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1.4e-05,1e-05,0.999926,1e-05,1e-05,1e-05,1e-05,2e-05
"68","SYST-MOR-0006767","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.003059,1e-05,0.996881,1e-05,1e-05,0.996891
"69","SYST-MOR-0006768","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,2e-05
"70","SYST-MOR-0006769","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.038096,1e-05,0.961844,1e-05,1e-05,0.961854
"71","SYST-MOR-0006770","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.963249,0.036691,1e-05,0.99994
"72","SYST-MOR-0006771","none","none","none","none","pure?","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,2e-05
"73","SYST-MOR-0006772","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.01002,1e-05,0.944142,0.045789,1e-05,0.989931
"74","SYST-MOR-0006773","none","none","none","none","pure?","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,2e-05
"75","SYST-MOR-0006774","none","none","none","hybrid?","hybrid?","none","none",0,2,"hybrid",1e-05,1e-05,0.058298,1e-05,1e-05,0.124465,1e-05,0.817187,0.124475
"76","SYST-MOR-0006775","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.974015,0.025925,1e-05,0.99994
"77","SYST-MOR-0006776","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1.2e-05,1e-05,0.994458,1e-05,0.00548,1e-05,1e-05,0.00549
"78","SYST-MOR-0006777","none","none","none","hybrid?","hybrid?","none","none",0,2,"hybrid",1e-05,1e-05,0.007164,1e-05,1.1e-05,0.871794,1e-05,0.120991,0.871804
"79","SYST-MOR-0006778","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1.5e-05,0.108591,0.891344,1e-05,0.999935
"80","SYST-MOR-0006779","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1.1e-05,1e-05,1e-05,1e-05,0.037714,0.962226,1e-05,0.99994
"81","SYST-MOR-0006780","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.046707,0.953233,1e-05,0.99994
"82","SYST-MOR-0006781","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.053325,0.946615,1e-05,0.99994
"83","SYST-MOR-0006782","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.179856,0.820084,1e-05,0.99994
"84","SYST-MOR-0006783","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.986243,0.003614,1e-05,1e-05,0.010093,1e-05,0.010103
"85","SYST-MOR-0006784","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.999927,1e-05,1.3e-05,1e-05,1e-05,1e-05,2e-05
"86","SYST-MOR-0006785","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"87","SYST-MOR-0006786","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"88","SYST-MOR-0006787","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.996577,1e-05,1e-05,1e-05,0.003363,1e-05,1e-05,0.003373
"89","SYST-MOR-0006788","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"90","SYST-MOR-0006789","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.988138,0.011802,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"91","SYST-MOR-0006790","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"92","SYST-MOR-0006791","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.216943,0.782997,1e-05,0.99994
"93","SYST-MOR-0006792","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,9.3e-05,0.17853,0.821327,1e-05,0.999857
"94","SYST-MOR-0006793","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.991614,1e-05,0.008326,1e-05,1e-05,1e-05,2e-05
"95","SYST-MOR-0006794","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"96","SYST-MOR-0006795","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.999927,1e-05,1e-05,1e-05,1e-05,1.3e-05,1e-05,2.3e-05
"97","SYST-MOR-0006796","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,2e-05
"98","SYST-MOR-0006797","none","pure?","none","none","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.966789,1e-05,1e-05,0.033151,1e-05,0.033161
"99","SYST-MOR-0006798","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.052809,0.947131,1e-05,0.99994
"100","SYST-MOR-0006799","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,0.004406,1e-05,1e-05,0.130624,0.864921,1e-05,0.995545
"101","SYST-MOR-0006800","none","pure?","none","hybrid?","none","none","none",1,1,"uncertain hybrid",1e-05,1e-05,1e-05,0.947337,1e-05,1e-05,0.052603,1e-05,0.052613
"102","SYST-MOR-0006801","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,0.99994
"103","SYST-MOR-0006802","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.111205,0.888735,1e-05,0.99994
"104","SYST-MOR-0006803","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.84699,0.15295,1e-05,0.99994
"105","SYST-MOR-0006804","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,0.005319,1e-05,0.994618,1.3e-05,1e-05,0.994631
"106","SYST-MOR-0006805","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1.4e-05,0.945008,0.054928,1e-05,0.999936
"107","SYST-MOR-0006806","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"108","SYST-MOR-0006807","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"109","SYST-MOR-0006808","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"110","SYST-MOR-0006809","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.986243,0.00387,1e-05,1e-05,0.009837,1e-05,1e-05,0.009847
"111","SYST-MOR-0006810","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"112","SYST-MOR-0006811","none","none","none","none","none","none","pure?",1,0,"pure",0.999922,1e-05,1e-05,1e-05,1.8e-05,1e-05,1e-05,1e-05,2e-05
"113","SYST-MOR-0006812","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"114","SYST-MOR-0006813","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"115","SYST-MOR-0006814","none","none","none","none","none","none","pure?",1,0,"pure",0.999925,1.5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"116","SYST-MOR-0006815","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"117","SYST-MOR-0006816","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"118","SYST-MOR-0006817","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"119","SYST-MOR-0006818","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"120","SYST-MOR-0006819","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"121","SYST-MOR-0006820","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"122","SYST-MOR-0006821","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.876794,0.123146,1e-05,0.99994
"123","SYST-MOR-0006822","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"124","SYST-MOR-0006823","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"125","SYST-MOR-0006824","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"126","SYST-MOR-0006825","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"127","SYST-MOR-0006826","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"128","SYST-MOR-0006827","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"129","SYST-MOR-0006828","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.999927,1e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,2.3e-05
"130","SYST-MOR-0006829","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"131","SYST-MOR-0006830","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"132","SYST-MOR-0006831","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"133","SYST-MOR-0006832","pure?","none","none","none","none","none","none",1,0,"pure",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"134","SYST-MOR-0006833","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"135","SYST-MOR-0006834","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"136","SYST-MOR-0006835","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"137","SYST-MOR-0006836","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"138","SYST-MOR-0006837","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"139","SYST-MOR-0006838","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"140","SYST-MOR-0006839","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.995653,0.004287,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"141","SYST-MOR-0006840","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"142","SYST-MOR-0006841","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"143","SYST-MOR-0006842","none","none","none","none","none","none","pure?",1,0,"pure",0.999924,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,1e-05,2e-05
"144","SYST-MOR-0006843","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"145","SYST-MOR-0006844","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,0.008111,1e-05,1e-05,1.6e-05,0.924223,0.06761,1e-05,0.991833
"146","SYST-MOR-0006845","none","none","none","none","none","none","pure?",1,0,"pure",0.99992,1e-05,1e-05,1e-05,1e-05,1.3e-05,1.6e-05,1e-05,2.9e-05
"147","SYST-MOR-0006846","none","none","none","none","none","none","pure?",1,0,"pure",0.990348,1e-05,1e-05,1e-05,1e-05,0.009592,1e-05,1e-05,0.009602
"148","SYST-MOR-0006847","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"149","SYST-MOR-0006848","none","none","hybrid?","none","hybrid?","none","hybrid?",0,3,"hybrid",0.806875,0.014739,1e-05,0.037335,0.066676,1e-05,1e-05,0.074346,2e-05
"150","SYST-MOR-0006849","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.993294,1e-05,1e-05,1e-05,1e-05,0.006646,1e-05,0.006656
"151","SYST-MOR-0006850","none","none","none","none","none","pure?","none",1,0,"pure",0.009161,0.99055,0.000239,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"152","SYST-MOR-0006851","none","none","none","none","none","pure?","none",1,0,"pure",0.006435,0.993505,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"153","SYST-MOR-0006852","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.960227,0.039713,1e-05,0.99994
"154","SYST-MOR-0006853","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.815082,0.184858,1e-05,0.99994
"155","SYST-MOR-0006854","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.804358,0.195582,1e-05,0.99994
"156","SYST-MOR-0006855","none","none","none","hybrid?","none","hybrid?","none",0,2,"hybrid",1e-05,0.485839,1e-05,1e-05,1e-05,0.474248,0.039863,1e-05,0.514111
"157","SYST-MOR-0006856","none","none","none","none","none","none","pure?",1,0,"pure",0.981734,0.005405,1e-05,1e-05,1e-05,1e-05,0.012811,1e-05,0.012821
"158","SYST-MOR-0006857","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.883674,0.116266,1e-05,0.99994
"159","SYST-MOR-0006858","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.967118,0.032822,1e-05,0.99994
"160","SYST-MOR-0006859","none","none","none","none","none","none","pure?",1,0,"pure",0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"161","SYST-MOR-0006860","none","none","none","none","none","pure?","none",1,0,"pure",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05
"162","SYST-MOR-0006861","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1.4e-05,0.978298,0.021638,1e-05,0.999936
"163","SYST-MOR-0006862","none","none","none","pure?","none","none","none",1,0,"pure",1e-05,1e-05,1e-05,1e-05,1e-05,0.856444,0.143496,1e-05,0.99994
