"","Group.1","alb.x","bic.x","lob.x","lyr.x","mac.x","mic.x","mon.x","mue.x","pri.x","sin.x","ste.x","stemar.x","mar.x","alb.y","bic.y","lob.y","lyr.y","mac.y","mic.y","mon.y","mue.y","pri.y","sin.y","mar.y","ste.y","stemar.y","colnum","species","state","site","lat","long","sp","hyb"
"12","SRR14632964",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2e-05,1.3e-05,1e-05,0.000654,1.2e-05,1e-05,1e-05,1.3e-05,2.3e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"13","SRR14632967",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2e-05,2e-05,1.7e-05,2e-05,1e-05,1.8e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"14","SRR14632968",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.3e-05,1e-05,1.6e-05,2e-05,1.1e-05,1.3e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"15","SRR14632969",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.2e-05,1.3e-05,1.3e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"16","SRR14632970",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2e-05,1.3e-05,1.7e-05,2e-05,1e-05,1.2e-05,1e-05,1e-05,2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"17","SRR3244044",1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,0.9999,2e-05,2.8e-05,1.1e-05,1.5e-05,2.6e-05,1e-05,1.4e-05,1.4e-05,1.2e-05,2.2e-05,"","Quercus lobata  Nee.","","",NA,NA,"lob","pure"
"18","SYST-MOR-0006717",1e-05,1e-05,1e-05,1e-05,1e-05,0.999886,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2.4e-05,2e-05,2.2e-05,2.1e-05,0.99989,1.2e-05,2e-05,1.2e-05,1.8e-05,2e-05,1e-05,3e-05,"IL_HP_MG919_MG","Quercus michauxii Nutt.","Illinois","Heron Pond - Little Black Slough Nature Preserve ","37.359717","-88.91752","mic","pure"
"19","SYST-MOR-0006718",1e-05,1e-05,1e-05,1e-05,1e-05,0.999886,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2e-05,2e-05,2.6e-05,0.99989,1.6e-05,2e-05,1.1e-05,2e-05,1e-05,1e-05,2e-05,"IL_HP_MG920_MG","Quercus michauxii Nutt.","Illinois","Heron Pond - Little Black Slough Nature Preserve ","37.358862","-88.917535","mic","pure"
"20","SYST-MOR-0006719",1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2e-05,2e-05,2e-05,0.99989,1.3e-05,2e-05,1.1e-05,1e-05,2e-05,1.2e-05,3e-05,"IL_HP_MG921_MG","Quercus michauxii Nutt.","Illinois","Heron Pond - Little Black Slough Nature Preserve ","37.357105","-88.91694","mic","pure"
"21","SYST-MOR-0006720",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.99989,0,2e-05,2e-05,2e-05,1.1e-05,2.4e-05,2e-05,1.5e-05,2e-05,1e-05,1e-05,1e-05,0.99989,0.9999,"MO_SH_001_MG","Quercus stellata Wangenh.","Missouri","Shaw Nature Preserve ","38.467143","-90.820221","ste","pure"
"22","SYST-MOR-0006721",1e-05,1e-05,1e-05,2e-05,0.999881,1e-05,1e-05,1e-05,1e-05,0,0,1.9e-05,0,1e-05,1e-05,1e-05,2e-05,0.999881,1e-05,1e-05,1e-05,1e-05,0,0,0,1.9e-05,"MO_SH_002_All","Quercus macrocarpa Michx.","Missouri","Shaw Nature Preserve ","38.461996","-90.814959","mac","pure"
"23","SYST-MOR-0006722",2e-05,1e-05,1e-05,1e-05,0.9999,0,0,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,0.9999,0,0,1e-05,1e-05,1e-05,0,0,1e-05,"MO_SH_003_All","Quercus macrocarpa Michx.","Missouri","Shaw Nature Preserve ","38.461909","-90.814652","mac","pure"
"24","SYST-MOR-0006723",1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,0,1e-05,"MO_SH_004_All","Quercus macrocarpa Michx.","Missouri","Shaw Nature Preserve ","38.461961","-90.81437","mac","pure"
"25","SYST-MOR-0006724",1e-05,1e-05,1e-05,1e-05,0.999885,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.5e-05,1.5e-05,1e-05,1e-05,1e-05,1e-05,0.999885,1e-05,1e-05,1e-05,1e-05,1e-05,1.5e-05,1e-05,2.5e-05,"MO_SH_005_All","Quercus macrocarpa Michx.","Missouri","Shaw Nature Preserve ","38.462113","-90.814155","mac","pure"
"26","SYST-MOR-0006725",1e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"MO_SH_006_All","Quercus macrocarpa Michx.","Missouri","Shaw Nature Preserve ","38.462273","-90.813528","mac","pure"
"27","SYST-MOR-0006726",1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0.99989,1e-05,1e-05,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,2e-05,"MO_SH_007_All","Quercus muehlenbergii Engelm.","Missouri","Shaw Nature Preserve ","38.461575","-90.818703","mue","pure"
"28","SYST-MOR-0006727",1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0.99989,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,2e-05,"MO_SH_008_All","Quercus muehlenbergii Engelm.","Missouri","Shaw Nature Preserve ","38.461624","-90.818267","mue","pure"
"29","SYST-MOR-0006728",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,0,1e-05,0,2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,2e-05,"MO_SH_009_All","Quercus muehlenbergii Engelm.","Missouri","Shaw Nature Preserve ","38.462029","-90.818313","mue","pure"
"30","SYST-MOR-0006729",2e-05,1e-05,1e-05,1e-05,0.999888,1e-05,1e-05,1e-05,1e-05,1.2e-05,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,0.999888,1e-05,1e-05,1e-05,1e-05,1.2e-05,0,0,1e-05,"IL_MOR_135_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.81383","-88.062933","mac","pure"
"31","SYST-MOR-0006730",0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0,0,1e-05,"IL_MOR_138_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.813922","-88.062902","alb","pure"
"32","SYST-MOR-0006731",2e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,0,0,1e-05,0,1e-05,0,2e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,0,0,1e-05,0,0,1e-05,"IL_MOR_137_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.813961","-88.063804","mac","pure"
"33","SYST-MOR-0006732",0.99987,1e-05,1e-05,1e-05,2e-05,1e-05,1.5e-05,0,0,0,0,1e-05,0,0.999884,1e-05,1.7e-05,1e-05,2e-05,1e-05,1.6e-05,1.8e-05,1e-05,1e-05,0,0,1e-05,"IL_MOR_136_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.813846","-88.063775","alb","pure"
"34","SYST-MOR-0006733",1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,0.9999,2e-05,2e-05,0.00587,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"IL_MOR_139_MG","Quercus bicolor Willd.","Illinois","The Morton Arboretum ","41.815709","-88.06144","bic","pure"
"35","SYST-MOR-0006734",0.9999,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0.9999,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,0,1e-05,"IL_MOR_140_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.815707","-88.0612","alb","pure"
"36","SYST-MOR-0006735",1e-05,1e-05,2e-05,1e-05,0.99989,0,0,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,0.99989,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"IL_MOR_142_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.815863","-88.06017","mac","pure"
"37","SYST-MOR-0006736",0.999883,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,0.99989,1e-05,1e-05,2e-05,2.1e-05,1e-05,1.4e-05,1.2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"IL_MOR_141_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.815892","-88.060242","alb","pure"
"38","SYST-MOR-0006737",1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,0,1e-05,"IL_MOR_143_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.814978","-88.061147","mac","pure"
"39","SYST-MOR-0006738",1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,0,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,0,0,1e-05,1e-05,0,2e-05,"IL_MOR_145_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.819275","-88.050902","mac","pure"
"40","SYST-MOR-0006739",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0.9999,2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"IL_MOR_144_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.819198","-88.051046","alb","pure"
"41","SYST-MOR-0006740",1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"IL_MOR_146_MG","Quercus macrocarpa Michx.","Illinois","The Morton Arboretum ","41.820968","-88.052361","mac","pure"
"42","SYST-MOR-0006741",0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,0,1e-05,0,0.9999,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"IL_MOR_147_MG","Quercus alba L.","Illinois","The Morton Arboretum ","41.820901","-88.052707","alb","pure"
"43","SYST-MOR-0006742",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.99989,0,2e-05,2e-05,2e-05,2e-05,2e-05,1.8e-05,1.2e-05,2e-05,1.7e-05,0.001201,1e-05,0.99989,0.9999,"MO_SH_010_All","Quercus stellata Wangenh.","Missouri","Shaw Nature Preserve ","38.46199","-90.818418","ste","pure"
"44","SYST-MOR-0006743",0.999888,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0.99989,2.2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,2e-05,"MO_SH_011_All","Quercus alba L.","Missouri","Shaw Nature Preserve ","38.462391","-90.817857","alb","pure"
"45","SYST-MOR-0006744",1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,0,0,1e-05,"MO_SH_012_All","Quercus muehlenbergii Engelm.","Missouri","Shaw Nature Preserve ","38.46295","-90.817616","mue","pure"
"47","SYST-MOR-0006746",0.999876,1.4e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1.4e-05,0,0,1e-05,1e-05,0.999876,1.4e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1.4e-05,0,1e-05,0,1e-05,"MO_SH_014_All","Quercus alba L.","Missouri","Shaw Nature Preserve ","38.462749","-90.81804","alb","pure"
"48","SYST-MOR-0006747",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.99989,0,2.5e-05,2e-05,2.9e-05,2.1e-05,2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,0.99989,0.9999,"MO_SH_015_All","Quercus stellata Wangenh.","Missouri","Shaw Nature Preserve ","38.462662","-90.818129","ste","pure"
"49","SYST-MOR-0006748",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.99989,0,2e-05,2e-05,1.1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,1e-05,1.5e-05,1e-05,0.99989,0.9999,"MO_SH_016_All","Quercus stellata Wangenh.","Missouri","Shaw Nature Preserve ","38.462483","-90.818432","ste","pure"
"50","SYST-MOR-0006749",1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0.99989,0,2e-05,2e-05,2e-05,2e-05,2.6e-05,1e-05,1e-05,2e-05,1.3e-05,1e-05,0.005049,0.99989,0.9999,"MO_SH_017_All","Quercus stellata Wangenh.","Missouri","Shaw Nature Preserve ","38.462703","-90.818742","ste","pure"
"51","SYST-MOR-0006750",0.999887,1e-05,1e-05,1e-05,1.6e-05,1e-05,1e-05,0,0,0,0,1.3e-05,0,0.99989,1e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1.3e-05,1e-05,1e-05,1.2e-05,1e-05,2e-05,"MO_SH_018_All","Quercus alba L.","Missouri","Shaw Nature Preserve ","38.46296","-90.818493","alb","pure"
"52","SYST-MOR-0006751",0.999889,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,0.9999,2e-05,2.7e-05,2e-05,2e-05,1.9e-05,1.4e-05,2e-05,1.9e-05,1e-05,0.000223,1e-05,0.000233,"MO_SH_019_All","Quercus alba L.","Missouri","Shaw Nature Preserve ","38.46381","-90.818731","alb","pure"
"53","SYST-MOR-0006752",0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0.9999,2.5e-05,1e-05,1.4e-05,2.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"MO_SH_020_All","Quercus alba L.","Missouri","Shaw Nature Preserve ","38.464166","-90.818686","alb","pure"
"54","SYST-MOR-0006753",0,1e-05,1e-05,1e-05,0.9999,0,1e-05,2e-05,1e-05,1e-05,0,1e-05,0,0,1e-05,1e-05,1e-05,0.9999,0,1e-05,2e-05,1e-05,1e-05,0,0,1e-05,"IL_OB_021_All","Quercus macrocarpa Michx.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.67609424","-89.4135025","mac","pure"
"56","SYST-MOR-0006755",1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,"IL_OB_023_All","Quercus macrocarpa Michx.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.6760035","-89.41296532","mac","pure"
"57","SYST-MOR-0006756",1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2e-05,0.9999,3e-05,1e-05,1e-05,2e-05,1.4e-05,1e-05,1e-05,1e-05,2e-05,"IL_OB_024_All","Quercus lyrata Walt.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.67681828","-89.41282223","lyr","pure"
"59","SYST-MOR-0006758",1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,0,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,0,0,1e-05,1e-05,0,2e-05,"IL_OB_026_All","Quercus macrocarpa Michx.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.6805839","-89.41312869","mac","pure"
"60","SYST-MOR-0006759",1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"IL_OB_027_All","Quercus macrocarpa Michx.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.68548051","-89.41114404","mac","pure"
"62","SYST-MOR-0006761",1e-05,1e-05,1e-05,1e-05,0.999889,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999889,1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"IL_OB_029_All","Quercus macrocarpa Michx.","Illinois","Oakwood Bottoms, Shawnee National Forest","37.6817841","-89.41275925","mac","pure"
"64","SYST-MOR-0006763",1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"MO_BOT_031_MG","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.644025","-89.2909","mac","pure"
"65","SYST-MOR-0006764",1e-05,1.9e-05,2e-05,1e-05,0.999877,1e-05,1e-05,1.2e-05,1e-05,1e-05,0,1.2e-05,0,1e-05,1.9e-05,2e-05,1e-05,0.999877,1e-05,1e-05,1.2e-05,1e-05,1e-05,0,0,1.2e-05,"MO_BOT_032_MG","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.643929","-89.290992","mac","pure"
"66","SYST-MOR-0006765",1e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,2e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,"MO_BOT_033_MG","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.644689","-89.290721","mac","pure"
"67","SYST-MOR-0006766",1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2e-05,0.999895,2e-05,1.5e-05,1.6e-05,2e-05,1.4e-05,1e-05,1.1e-05,1.3e-05,2.3e-05,"MO_BOT_034_All","Quercus lyrata Walt.","Missouri","Big Oak Tree State Park ","36.644928","-89.292856","lyr","pure"
"68","SYST-MOR-0006767",1e-05,1e-05,1e-05,1e-05,0.999882,1e-05,1e-05,0,0,0,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,0.9999,1e-05,1e-05,1e-05,1e-05,1e-05,1.8e-05,1e-05,2.8e-05,"MO_BOT_035_All","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.644965","-89.292919","mac","pure"
"69","SYST-MOR-0006768",1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2.2e-05,0.9999,2.4e-05,1.5e-05,1e-05,2e-05,1e-05,1.5e-05,1.4e-05,1e-05,2e-05,"MO_BOT_036_All","Quercus lyrata Walt.","Missouri","Big Oak Tree State Park ","36.644699","-89.294887","lyr","pure"
"71","SYST-MOR-0006770",1e-05,1e-05,1e-05,1e-05,0.999885,1e-05,1.1e-05,2.1e-05,1.1e-05,0,0,1.3e-05,0,1e-05,1e-05,1e-05,1e-05,0.999885,1e-05,1.1e-05,2.1e-05,1.1e-05,0,0,0,1.3e-05,"MO_BOT_038_All","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.64308589","-89.28758916","mac","pure"
"72","SYST-MOR-0006771",1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2e-05,2.6e-05,2e-05,0.99989,1.7e-05,2e-05,1e-05,1.1e-05,1.7e-05,1e-05,2.7e-05,"MO_BOT_039_All","Quercus michauxii Nutt.","Missouri","Big Oak Tree State Park ","36.64287291","-89.28744984","mic","pure"
"73","SYST-MOR-0006772",1e-05,1e-05,1e-05,2e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,1e-05,1e-05,2e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,0,0,1e-05,"MO_BOT_040_All","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.64427285","-89.28656344","mac","pure"
"74","SYST-MOR-0006773",1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2.4e-05,2e-05,2e-05,2e-05,0.99989,1.8e-05,2e-05,1.2e-05,1e-05,2e-05,1e-05,3e-05,"MO_BOT_041_All","Quercus michauxii Nutt.","Missouri","Big Oak Tree State Park ","36.64423073","-89.28680646","mic","pure"
"76","SYST-MOR-0006775",1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,"MO_BOT_043_All","Quercus macrocarpa Michx.","Missouri","Big Oak Tree State Park ","36.64101675","-89.2904011","mac","pure"
"77","SYST-MOR-0006776",1e-05,1e-05,1e-05,0.99989,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,2e-05,2e-05,2.6e-05,0.9999,2e-05,1e-05,1e-05,2e-05,1.3e-05,1e-05,1e-05,1e-05,2e-05,"MO_BOT_044_All","Quercus lyrata Walt.","Missouri","Big Oak Tree State Park ","36.64089787","-89.2904101","lyr","pure"
