,Group.1,alb.x,bic.x,lob.x,lyr.x,mac.x,mic.x,mon.x,mue.x,pri.x,sin.x,ste.x,stemar.x,mar.x,alb.y,bic.y,lob.y,lyr.y,mac.y,mic.y,mon.y,mue.y,pri.y,sin.y,mar.y,ste.y,stemar.y,colnum,species,state,site,lat,long,sp,hyb,,
136,SYST-MOR-0006837,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.482511,1.30E-05,1.00E-05,1.00E-05,2.00E-05,MO_PSP_MG925_MG,Quercus prinoides Willd.,Missouri,Prairie State Park ,37.53259251,-94.57469489,hyb,hyb,1.00E+00,>0.74
138,SYST-MOR-0006839,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.30E-05,0.9999,0.495986,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_PSP_MG927_MG,Quercus prinoides Willd.,Missouri,Prairie State Park ,37.5350275,-94.57977919,hyb,hyb,1.00E+00,>0.74
139,SYST-MOR-0006840,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.869016,0.130884,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,0.191118,1.80E-05,1.00E-05,1.00E-05,2.00E-05,OK_RRC_106_MG,Quercus muehlenbergii Engelm.,Oklahoma,Red Rock Canyon Adventure Park ,35.435994,-98.355639,hyb,hyb,8.69E-01,>0.74
141,SYST-MOR-0006842,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.999889,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.90E-05,1.00E-05,2.60E-05,1.10E-05,0.055619,0.99989,1.00E-05,0.9999,MG_928,Quercus margaretiae Ashe ex Small,Oklahoma,Red Rock Canyon Adventure Park ,35.436273,-98.3555939,hyb,hyb,1.00E+00,>0.74
142,SYST-MOR-0006843,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.532204,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,1.00E-05,1.90E-05,0.012464,1.00E-05,1.60E-05,0.999884,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,OK_RRC_108_MG,Quercus muehlenbergii Engelm.,Oklahoma,Red Rock Canyon Adventure Park ,35.435383,-98.354131,hyb,hyb,5.32E-01,F1
147,SYST-MOR-0006848,1.00E-05,1.00E-05,0.091888,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.787316,0,0.045804,2.00E-05,0.205091,2.00E-05,0.001079,0.060229,0.056185,2.00E-05,0.120341,0.259342,0.919571,1.00E-05,0.919581,OK_RRC_113_MG,Quercus margaretiae Ashe ex Small,Oklahoma,Red Rock Canyon Adventure Park ,35.436552,-98.353515,hyb,hyb,7.87E-01,>0.74
148,SYST-MOR-0006849,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.56339,1.00E-05,1.00E-05,1.00E-05,2.00E-05,OK_RRC_114_MG,Quercus muehlenbergii Engelm.,Oklahoma,Red Rock Canyon Adventure Park ,35.436538,-98.353515,hyb,hyb,1.00E+00,>0.74
149,SYST-MOR-0006850,1.00E-05,0,1.00E-05,0,2.00E-05,0,0,1.00E-05,0.566783,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.433117,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,OK_RRC_115_MG,Quercus muehlenbergii Engelm.,Oklahoma,Red Rock Canyon Adventure Park ,35.436037,-98.353944,hyb,hyb,5.67E-01,F1
150,SYST-MOR-0006851,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.893332,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,2.00E-05,2.10E-05,1.20E-05,1.00E-05,0.99989,0.151451,1.00E-05,1.00E-05,1.00E-05,2.00E-05,OK_RRC_116_MG,Quercus muehlenbergii Engelm.,Oklahoma,Red Rock Canyon Adventure Park ,35.445521,-98.353315,hyb,hyb,8.93E-01,>0.74
154,SYST-MOR-0006855,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.544361,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.544361,1.00E-05,1.00E-05,0,0,0,0,0,1.00E-05,OK_RRC_120_MG,Quercus macrocarpa Michx.,Oklahoma,Red Rock Canyon Adventure Park ,35.457323,-98.35242,hyb,hyb,5.44E-01,F1
162,SYST-MOR-0006863,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,0.95643,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,0.04347,1.00E-05,1.00E-05,1.00E-05,2.00E-05,OK_TGP_128_MG,Quercus muehlenbergii Engelm.,Oklahoma,Tallgrass Prairie Preserve ,36.846613,-96.429364,hyb,hyb,9.56E-01,>0.74
164,SYST-MOR-0006865,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.30E-05,2.00E-05,2.00E-05,2.00E-05,2.30E-05,1.70E-05,1.20E-05,2.80E-05,1.30E-05,1.00E-05,0.395576,0.99989,0.9999,OK_TGP_130_MG,Quercus stellata Wangenh.,Oklahoma,Tallgrass Prairie Preserve ,36.844153,-96.427088,hyb,hyb,1.00E+00,>0.74
195,SYST-MOR-0006896,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999888,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,2.20E-05,1.00E-05,1.00E-05,0.99989,0.348896,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KY_CSW_174_MG,Quercus muehlenbergii Engelm.,Kentucky,Castlewood State Park ,38.05463,-84.47566,hyb,hyb,1.00E+00,>0.74
199,SYST-MOR-0006900,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,2.00E-05,2.00E-05,1.10E-05,1.20E-05,0.999898,0.399356,1.00E-05,1.00E-05,1.00E-05,0.000447,KY_BBF_178_MG,Quercus muehlenbergii Engelm.,Kentucky,Briarbrook Farm ,38.277378,-84.201969,hyb,hyb,1.00E+00,>0.74
204,SYST-MOR-0006905,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,0.448793,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KY_BBF_183_MG,Quercus muehlenbergii Engelm.,Kentucky,Briarbrook Farm ,38.273643,-84.208109,hyb,hyb,1.00E+00,>0.74
209,SYST-MOR-0006910,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.20E-05,1.00E-05,1.00E-05,0.598445,0.383251,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.20E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.858676,0.471699,1.00E-05,0,0,1.00E-05,KY_ASF_188_MG,Quercus muehlenbergii Engelm.,Kentucky,Airdrie Stud Farm est. 1780,38.137672,-84.735528,hyb,hyb,5.98E-01,BC1?
213,SYST-MOR-0006914,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.467922,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KY_ASF_192_MG,Quercus muehlenbergii Engelm.,Kentucky,Airdrie Stud Farm est. 1780,38.135332,-84.733105,hyb,hyb,1.00E+00,>0.74
214,SYST-MOR-0006915,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.411733,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.588167,1.00E-05,0,0,1.00E-05,KY_ASF_193_MG,Quercus muehlenbergii Engelm.,Kentucky,Airdrie Stud Farm est. 1780,38.137235,-84.733179,hyb,hyb,4.12E-01,F1
217,SYST-MOR-0006918,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.04639,2.00E-05,0.9999,2.00E-05,1.50E-05,1.40E-05,2.00E-05,1.10E-05,1.10E-05,1.00E-05,1.00E-05,2.00E-05,KY_JJA_196_MG,Quercus lyrata Walt.,Kentucky,John James Audubon State Park ,37.892357,-87.5395,hyb,hyb,1.00E+00,>0.74
218,SYST-MOR-0006919,1.00E-05,0.063269,1.00E-05,0.360572,1.00E-05,0.570144,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.027297,0.122968,2.00E-05,0.472111,2.00E-05,0.59965,1.90E-05,2.50E-05,1.70E-05,1.60E-05,1.00E-05,1.10E-05,2.10E-05,KY_JJA_197_MG,Quercus michauxii Nutt.,Kentucky,John James Audubon State Park ,37.894175,-87.538856,hyb,hyb,5.70E-01,F1
225,SYST-MOR-0006927,1.00E-05,0.215201,1.00E-05,0.780388,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.20E-05,0.361888,2.00E-05,0.821128,3.00E-05,1.20E-05,1.30E-05,2.00E-05,1.90E-05,1.50E-05,1.00E-05,1.00E-05,2.00E-05,KY_JJA_205_MG,Quercus lyrata Walt.,Kentucky,John James Audubon State Park ,37.894907,-87.540391,hyb,hyb,7.80E-01,>0.74
247,SYST-MOR-0006949,0.494439,1.00E-05,1.00E-05,1.00E-05,0.505471,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,1.00E-05,0.567078,2.00E-05,1.00E-05,1.00E-05,0.51996,1.00E-05,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MN_PMN_227_MG,Quercus alba L.,Minnesota,Prairie Moon Nursery ,43.896108,-91.631757,hyb,hyb,5.05E-01,F1
249,SYST-MOR-0006951,0,1.00E-05,1.00E-05,1.00E-05,0.529116,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,1.10E-05,0,0.554388,1.00E-05,1.00E-05,2.00E-05,0.534983,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,WI_PKL_229_MG,Quercus alba L.,Wisconsin,Pickerel Lake,46.332048,-91.507301,hyb,hyb,5.29E-01,F1
250,SYST-MOR-0006952,0,1.10E-05,1.00E-05,1.00E-05,0.531792,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0,1.10E-05,1.00E-05,1.00E-05,0.531792,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,WI_PKL_230_MG,Quercus alba L.,Wisconsin,Pickerel Lake,46.332273,-91.507437,hyb,hyb,5.32E-01,F1
251,SYST-MOR-0006953,0.999888,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,2.00E-05,2.00E-05,1.00E-05,0.019983,1.00E-05,1.00E-05,1.00E-05,1.20E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,WI_PKL_231_MG,Quercus alba L.,Wisconsin,Pickerel Lake,46.332523,-91.507719,hyb,hyb,1.00E+00,>0.74
252,SYST-MOR-0006954,0.132554,1.00E-05,1.00E-05,1.00E-05,0.867356,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,0.132554,1.00E-05,1.00E-05,1.00E-05,0.867356,1.00E-05,1.00E-05,0,0,0,0,0,1.00E-05,WI_PKL_232_MG,Quercus macrocarpa Michx.,Wisconsin,Pickerel Lake,46.331697,-91.507324,hyb,hyb,8.67E-01,>0.74
280,SYST-MOR-0006983,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999889,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,2.10E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.498533,1.00E-05,1.00E-05,0,1.00E-05,OH_GLW_263_MG,Quercus muehlenbergii Engelm.,Ohio,Goll Woods,41.551443,-84.357894,hyb,hyb,1.00E+00,>0.74
287,SYST-MOR-0006990,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.031524,0.99989,1.20E-05,1.20E-05,1.00E-05,2.20E-05,MI_PRA_270_MG,Quercus prinoides Willd.,Michigan,Pinckney Recreation Area,42.411672,-83.985433,hyb,hyb,1.00E+00,>0.74
295,SYST-MOR-0006998,0.480137,1.00E-05,1.00E-05,1.00E-05,0.519773,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,0.480137,1.00E-05,1.00E-05,1.00E-05,0.519773,1.00E-05,1.00E-05,0,0,0,0,0,1.00E-05,MI_PRA_278_MG,Quercus macrocarpa Michx.,Michigan,Pinckney Recreation Area,42.407538,-83.986305,hyb,hyb,5.20E-01,F1
303,SYST-MOR-0007006,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,0.004219,0.034409,1.20E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_LLP_286_MG,Quercus bicolor Willd.,Michigan,Lake Lansing Park,42.767558,-84.384492,hyb,hyb,1.00E+00,>0.74
307,SYST-MOR-0007010,1.00E-05,0.948194,1.00E-05,1.00E-05,0.046189,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.40E-05,0.9999,1.00E-05,1.00E-05,0.079565,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_LLP_290_MG,Quercus bicolor Willd.,Michigan,Lake Lansing Park,42.765814,-84.381325,hyb,hyb,9.48E-01,>0.74
312,SYST-MOR-0007015,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.90E-05,2.00E-05,2.00E-05,1.10E-05,1.10E-05,0.9999,0.415377,1.00E-05,2.00E-05,1.00E-05,3.00E-05,KS_SMP_295_MG,Quercus muehlenbergii Engelm.,Kansas,Shawnee Mission Park,38.980762,-94.789191,hyb,hyb,1.00E+00,>0.74
314,SYST-MOR-0007017,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0.98609,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,0.01381,1.00E-05,0,0,1.00E-05,KS_SMP_297_MG,Quercus muehlenbergii Engelm.,Kansas,Shawnee Mission Park,38.981131,-94.790356,hyb,hyb,9.86E-01,>0.74
320,SYST-MOR-0007023,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.557186,0.442714,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.20E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,0.539362,1.00E-05,1.00E-05,0,1.00E-05,KS_SMP_303_MG,Quercus muehlenbergii Engelm.,Kansas,Shawnee Mission Park,38.981893,-94.793894,hyb,hyb,5.57E-01,F1
322,SYST-MOR-0007025,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.999888,1.00E-05,1.00E-05,0,1.00E-05,0,1.20E-05,1.30E-05,2.00E-05,1.00E-05,2.00E-05,1.00E-05,2.00E-05,0.99989,0.463634,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_305_MG,Quercus muehlenbergii Engelm.,Kansas,Shawnee Mission Park,38.982533,-94.795299,hyb,hyb,1.00E+00,>0.74
324,SYST-MOR-0007027,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,2.00E-05,1.90E-05,2.50E-05,1.00E-05,1.60E-05,2.00E-05,1.00E-05,1.60E-05,0.358823,0.99989,0.9999,KS_SMP_307_MG,Quercus stellata Wangenh.,Kansas,Shawnee Mission Park,38.980615,-94.791199,hyb,hyb,1.00E+00,>0.74
333,SYST-MOR-0007036,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999879,1.00E-05,1.00E-05,0,1.00E-05,0,2.40E-05,2.00E-05,2.40E-05,2.00E-05,2.00E-05,1.20E-05,1.50E-05,0.9999,0.567676,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KCP_316_MG,Quercus prinoides Willd.,Kansas,Kill Creek Park,38.917033,-94.973637,hyb,hyb,1.00E+00,>0.74
336,SYST-MOR-0007039,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.522256,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,0.537258,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KZP_319_MG,Quercus muehlenbergii Engelm.,Kansas,Konza Prairie Biological Station,39.107929,-96.605811,hyb,hyb,5.22E-01,F1
338,SYST-MOR-0007041,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0.309156,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.80E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,0,1.00E-05,KS_KZP_321_MG,Quercus muehlenbergii Engelm.,Kansas,Konza Prairie Biological Station,39.107902,-96.604707,hyb,hyb,3.09E-01,F1
343,SYST-MOR-0007046,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.30E-05,1.00E-05,1.00E-05,0.9999,0.425003,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KZP_326_MG,Quercus muehlenbergii Engelm.,Kansas,Konza Prairie Biological Station,39.106907,-96.603869,hyb,hyb,1.00E+00,>0.74
