,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,collectionNumber
20,SYST-MOR-0006719,none,none,none,none,pure?,none,none,1,0,pure,0,0,0.0486,0,0,0,0,0.9513,2.00E-05,IL_HP_MG921_MG
21,SYST-MOR-0006720,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_SH_001_MG
22,SYST-MOR-0006721,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9106,0.0893,0,0.99994,MO_SH_002_All
23,SYST-MOR-0006722,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8308,0.1692,0,0.99994,MO_SH_003_All
24,SYST-MOR-0006723,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9547,0.0452,0,0.99994,MO_SH_004_All
25,SYST-MOR-0006724,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9474,0.0526,0,0.99994,MO_SH_005_All
26,SYST-MOR-0006725,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,MO_SH_006_All
27,SYST-MOR-0006726,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_SH_007_All
28,SYST-MOR-0006727,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_SH_008_All
29,SYST-MOR-0006728,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_SH_009_All
30,SYST-MOR-0006729,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.1472,0.8528,0,0.99994,IL_MOR_135_MG
31,SYST-MOR-0006730,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IL_MOR_138_MG
32,SYST-MOR-0006731,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.0773,0.9227,0,0.99994,IL_MOR_137_MG
33,SYST-MOR-0006732,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IL_MOR_136_MG
34,SYST-MOR-0006733,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9957,0,0,0.0042,0,0.004231,IL_MOR_139_MG
35,SYST-MOR-0006734,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IL_MOR_140_MG
36,SYST-MOR-0006735,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0.0043,0.2128,0.7829,0,0.995677,IL_MOR_142_MG
37,SYST-MOR-0006736,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9902,0,0,0.0097,0,0,0.009726,IL_MOR_141_MG
38,SYST-MOR-0006737,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.1702,0.8298,0,0.99994,IL_MOR_143_MG
39,SYST-MOR-0006738,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.2886,0.7114,0,0.99994,IL_MOR_145_MG
40,SYST-MOR-0006739,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IL_MOR_144_MG
41,SYST-MOR-0006740,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.139,0.8609,0,0.99994,IL_MOR_146_MG
42,SYST-MOR-0006741,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IL_MOR_147_MG
43,SYST-MOR-0006742,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_SH_010_All
44,SYST-MOR-0006743,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_SH_011_All
45,SYST-MOR-0006744,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_SH_012_All
46,SYST-MOR-0006745,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_SH_013_All
47,SYST-MOR-0006746,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_SH_014_All
48,SYST-MOR-0006747,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_SH_015_All
49,SYST-MOR-0006748,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_SH_016_All
50,SYST-MOR-0006749,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_SH_017_All
51,SYST-MOR-0006750,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_SH_018_All
52,SYST-MOR-0006751,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_SH_019_All
53,SYST-MOR-0006752,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_SH_020_All
54,SYST-MOR-0006753,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9597,0.0402,0,0.999935,IL_OB_021_All
55,SYST-MOR-0006754,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,IL_OB_022_All
56,SYST-MOR-0006755,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,IL_OB_023_All
57,SYST-MOR-0006756,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,IL_OB_024_All
58,SYST-MOR-0006757,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,IL_OB_025_All
59,SYST-MOR-0006758,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8904,0.1096,0,0.99994,IL_OB_026_All
60,SYST-MOR-0006759,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9559,0.044,0,0.99994,IL_OB_027_All
61,SYST-MOR-0006760,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,IL_OB_028_All
62,SYST-MOR-0006761,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0.0041,0,0.9839,0.0119,0,0.995815,IL_OB_029_All
63,SYST-MOR-0006762,none,hybrid?,none,hybrid?,none,none,none,0,2,hybrid,0,0,0,0.5201,0,0.4798,0,0,0.479859,IL_OB_030_All
64,SYST-MOR-0006763,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,MO_BOT_031_MG
65,SYST-MOR-0006764,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.999939,MO_BOT_032_MG
66,SYST-MOR-0006765,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.999936,MO_BOT_033_MG
67,SYST-MOR-0006766,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,MO_BOT_034_All
68,SYST-MOR-0006767,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0.0031,0,0.9969,0,0,0.996891,MO_BOT_035_All
69,SYST-MOR-0006768,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,MO_BOT_036_All
70,SYST-MOR-0006769,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0.0381,0,0.9618,0,0,0.961854,MO_BOT_037_All
71,SYST-MOR-0006770,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9632,0.0367,0,0.99994,MO_BOT_038_All
72,SYST-MOR-0006771,none,none,none,none,pure?,none,none,1,0,pure,0,0,0,0,0,0,0,0.9999,2.00E-05,MO_BOT_039_All
73,SYST-MOR-0006772,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0.01,0,0.9441,0.0458,0,0.989931,MO_BOT_040_All
74,SYST-MOR-0006773,none,none,none,none,pure?,none,none,1,0,pure,0,0,0,0,0,0,0,0.9999,2.00E-05,MO_BOT_041_All
75,SYST-MOR-0006774,none,none,none,hybrid?,hybrid?,none,none,0,2,hybrid,0,0,0.0583,0,0,0.1245,0,0.8172,0.124475,MO_BOT_042_All
76,SYST-MOR-0006775,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.974,0.0259,0,0.99994,MO_BOT_043_All
77,SYST-MOR-0006776,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9945,0,0.0055,0,0,0.00549,MO_BOT_044_All
78,SYST-MOR-0006777,none,none,none,hybrid?,hybrid?,none,none,0,2,hybrid,0,0,0.0072,0,0,0.8718,0,0.121,0.871804,MO_BOT_045_All
79,SYST-MOR-0006778,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.1086,0.8913,0,0.999935,IA_BSP_046_MG
80,SYST-MOR-0006779,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.0377,0.9622,0,0.99994,IA_BSP_047_MG
81,SYST-MOR-0006780,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.0467,0.9532,0,0.99994,IA_BSP_048_MG
82,SYST-MOR-0006781,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.0533,0.9466,0,0.99994,IA_BSP_049_MG
83,SYST-MOR-0006782,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.1799,0.8201,0,0.99994,IA_BSP_050_MG
84,SYST-MOR-0006783,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9862,0.0036,0,0,0.0101,0,0.010103,IA_LNW_051_MG
85,SYST-MOR-0006784,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IA_LNW_052_MG
86,SYST-MOR-0006785,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IA_LNW_053_MG
87,SYST-MOR-0006786,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,IA_LNW_054_MG
88,SYST-MOR-0006787,none,none,none,none,none,pure?,none,1,0,pure,0,0.9966,0,0,0,0.0034,0,0,0.003373,IA_LNW_055_MG
89,SYST-MOR-0006788,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,IA_LNW_056_MG
90,SYST-MOR-0006789,none,none,none,none,none,pure?,none,1,0,pure,0,0.9881,0.0118,0,0,0,0,0,2.00E-05,IA_LNW_057_MG
91,SYST-MOR-0006790,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,IA_LNW_058_MG
92,SYST-MOR-0006791,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.2169,0.783,0,0.99994,IA_LNW_059_MG
93,SYST-MOR-0006792,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,1.00E-04,0.1785,0.8213,0,0.999857,IA_LNW_060_MG
94,SYST-MOR-0006793,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9916,0,0.0083,0,0,0,2.00E-05,IA_LNW_061_MG
95,SYST-MOR-0006794,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,IA_LNW_062_MG
96,SYST-MOR-0006795,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.30E-05,IA_LNW_063_MG
97,SYST-MOR-0006796,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9999,0,0,0,0,2.00E-05,IA_LNW_064_MG
98,SYST-MOR-0006797,none,pure?,none,none,none,none,none,1,0,pure,0,0,0,0.9668,0,0,0.0332,0,0.033161,IA_LNW_065_MG
99,SYST-MOR-0006798,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.0528,0.9471,0,0.99994,IA_CHP_066_MG
100,SYST-MOR-0006799,none,none,none,pure?,none,none,none,1,0,pure,0,0,0.0044,0,0,0.1306,0.8649,0,0.995545,IA_CHP_067_MG
101,SYST-MOR-0006800,none,pure?,none,hybrid?,none,none,none,1,1,uncertain hybrid,0,0,0,0.9473,0,0,0.0526,0,0.052613,IA_CHP_068_MG
102,SYST-MOR-0006801,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0,0.9999,0,0.99994,IA_CHP_069_MG
103,SYST-MOR-0006802,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.1112,0.8887,0,0.99994,IA_CHP_070_MG
104,SYST-MOR-0006803,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.847,0.153,0,0.99994,MO_CSW_071_MGLS
105,SYST-MOR-0006804,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0.0053,0,0.9946,0,0,0.994631,MO_CSW_072_MGLS
106,SYST-MOR-0006805,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.945,0.0549,0,0.999936,MO_CSW_073_MGLS
107,SYST-MOR-0006806,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_TRC_074_MG
108,SYST-MOR-0006807,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_TRC_075_MG
109,SYST-MOR-0006808,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_TRC_076_MG
110,SYST-MOR-0006809,none,none,none,none,none,pure?,none,1,0,pure,0,0.9862,0.0039,0,0,0.0098,0,0,0.009847,MO_TRC_077_MG
111,SYST-MOR-0006810,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_TRC_078_MG
112,SYST-MOR-0006811,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_TRC_079_MG
113,SYST-MOR-0006812,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_TRC_080_MG
114,SYST-MOR-0006813,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_TRC_081_MG
115,SYST-MOR-0006814,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_TRC_082_MG
116,SYST-MOR-0006815,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_TRC_083_MG
117,SYST-MOR-0006816,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_TRC_084_MG
118,SYST-MOR-0006817,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_TRC_085_MG
119,SYST-MOR-0006818,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_TRC_086_MG
120,SYST-MOR-0006819,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_TRC_087_MG
121,SYST-MOR-0006820,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_TRC_088_MG
122,SYST-MOR-0006821,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8768,0.1231,0,0.99994,MO_HHT_089_MG
123,SYST-MOR-0006822,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_HHT_090_MG
124,SYST-MOR-0006823,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_HHT_091_MG
125,SYST-MOR-0006824,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_HHT_092_MG
126,SYST-MOR-0006825,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_HHT_093_MG
127,SYST-MOR-0006826,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_HHT_094_MG
128,SYST-MOR-0006827,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_HHT_095_MG
129,SYST-MOR-0006828,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.30E-05,MO_HHT_096_MG
130,SYST-MOR-0006829,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_HHT_097_MG
131,SYST-MOR-0006830,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_HHT_098_MG
132,SYST-MOR-0006831,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_HHT_099_MG
133,SYST-MOR-0006832,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,MO_HHT_100_MG
134,SYST-MOR-0006833,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_HHT_101_MG
135,SYST-MOR-0006834,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_PSP_MG922_MG
136,SYST-MOR-0006835,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_PSP_MG923_MG
137,SYST-MOR-0006836,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_PSP_MG924_MG
138,SYST-MOR-0006837,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,MO_PSP_MG925_MG
139,SYST-MOR-0006838,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MO_PSP_MG926_MG
140,SYST-MOR-0006839,none,none,none,none,none,pure?,none,1,0,pure,0,0.9957,0.0043,0,0,0,0,0,2.00E-05,MO_PSP_MG927_MG
141,SYST-MOR-0006840,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,OK_RRC_106_MG
142,SYST-MOR-0006841,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_RRC_107_MG
143,SYST-MOR-0006842,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,MG_928
144,SYST-MOR-0006843,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,OK_RRC_108_MG
145,SYST-MOR-0006844,none,none,none,pure?,none,none,none,1,0,pure,0,0.0081,0,0,0,0.9242,0.0676,0,0.991833,OK_RRC_109_MG
146,SYST-MOR-0006845,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.90E-05,OK_RRC_110_MG
147,SYST-MOR-0006846,none,none,none,none,none,none,pure?,1,0,pure,0.9903,0,0,0,0,0.0096,0,0,0.009602,OK_RRC_111_MG
148,SYST-MOR-0006847,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_RRC_112_MG
149,SYST-MOR-0006848,none,none,hybrid?,none,hybrid?,none,hybrid?,0,3,hybrid,0.8069,0.0147,0,0.0373,0.0667,0,0,0.0743,2.00E-05,OK_RRC_113_MG
150,SYST-MOR-0006849,none,none,none,none,none,pure?,none,1,0,pure,0,0.9933,0,0,0,0,0.0066,0,0.006656,OK_RRC_114_MG
151,SYST-MOR-0006850,none,none,none,none,none,pure?,none,1,0,pure,0.0092,0.9906,2.00E-04,0,0,0,0,0,2.00E-05,OK_RRC_115_MG
152,SYST-MOR-0006851,none,none,none,none,none,pure?,none,1,0,pure,0.0064,0.9935,0,0,0,0,0,0,2.00E-05,OK_RRC_116_MG
153,SYST-MOR-0006852,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9602,0.0397,0,0.99994,OK_RRC_117_MG
154,SYST-MOR-0006853,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8151,0.1849,0,0.99994,OK_RRC_118_MG
155,SYST-MOR-0006854,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8044,0.1956,0,0.99994,OK_RRC_119_MG
156,SYST-MOR-0006855,none,none,none,hybrid?,none,hybrid?,none,0,2,hybrid,0,0.4858,0,0,0,0.4742,0.0399,0,0.514111,OK_RRC_120_MG
157,SYST-MOR-0006856,none,none,none,none,none,none,pure?,1,0,pure,0.9817,0.0054,0,0,0,0,0.0128,0,0.012821,OK_RRC_121_MG
158,SYST-MOR-0006857,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8837,0.1163,0,0.99994,OK_TGP_122_MG
159,SYST-MOR-0006858,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9671,0.0328,0,0.99994,OK_TGP_123_MG
160,SYST-MOR-0006859,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_TGP_124_MG
161,SYST-MOR-0006860,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,OK_TGP_125_MG
162,SYST-MOR-0006861,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9783,0.0216,0,0.999936,OK_TGP_126_MG
163,SYST-MOR-0006862,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.8564,0.1435,0,0.99994,OK_TGP_127_MG
164,SYST-MOR-0006863,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,OK_TGP_128_MG
165,SYST-MOR-0006864,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_TGP_129_MG
166,SYST-MOR-0006865,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_TGP_130_MG
167,SYST-MOR-0006866,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.948,0.0519,0,0.99994,OK_TGP_131_MG
168,SYST-MOR-0006867,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.20E-05,OK_TGP_132_MG
169,SYST-MOR-0006868,none,none,none,none,none,none,pure?,1,0,pure,0.9999,0,0,0,0,0,0,0,2.00E-05,OK_TGP_133_MG
170,SYST-MOR-0006869,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,OK_TGP_134_MG
171,SYST-MOR-0006870,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,TN_BCP_148_MG
172,SYST-MOR-0006871,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,TN_BCP_149_MG
173,SYST-MOR-0006872,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,TN_BCP_150_MG
174,SYST-MOR-0006873,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,TN_BCP_151_MG
175,SYST-MOR-0006874,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,TN_BCP_152_MG
176,SYST-MOR-0006875,none,none,none,pure?,none,none,none,1,0,pure,0,0,0,0,0,0.9999,0,0,0.99994,TN_BCP_153_MG
177,SYST-MOR-0006876,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,TN_BCP_154_MG
178,SYST-MOR-0006877,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,TN_BCP_155_MG
179,SYST-MOR-0006878,none,none,none,pure?,none,none,none,1,0,pure,0.0057,0,0,0,0,0.9943,0,0,0.994299,TN_BCP_156_MG
180,SYST-MOR-0006879,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,TN_BCP_157_MG
181,SYST-MOR-0006880,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,TN_BCP_158_MG
182,SYST-MOR-0006881,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,TN_BCP_159_MG
183,SYST-MOR-0006882,none,none,none,none,none,pure?,none,1,0,pure,0,0.9999,0,0,0,0,0,0,2.00E-05,TN_BCP_160_MG
184,SYST-MOR-0006883,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,TN_BCP_161_MG
185,SYST-MOR-0006884,pure?,none,none,none,none,none,none,1,0,pure,0,0,0.9999,0,0,0,0,0,2.00E-05,TN_BCP_162_MG
